player,Var.25,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Robby Shelton,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,-2.09,0.23,0.74,-0.01,0.96,-1.12
Roger Sloan,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T21,1.22,0.56,-0.35,-0.04,0.16,1.39
Robert Streb,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T38,0.76,0.01,-0.49,0.36,-0.12,0.64
Richy Werenski,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T25,0.8,0.02,0.7,-0.38,0.34,1.14
Scott Brown,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T52,0.15,-0.06,0.09,-0.04,-0.02,0.14
Sebastian Cappelen,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,1.5,-0.53,-1.48,-1.12,-3.12,-1.62
Scott Harrington,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,-1.18,-0.39,-2.44,-2.12,-4.94,-6.12
Sungjae Im,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T8,0.08,0.89,0.61,0.56,2.06,2.14
Sung Kang,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T74,0.7,-0.23,-1.06,-0.27,-1.57,-0.86
Si Woo Kim,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T58,-0.68,0.25,0.39,-0.07,0.57,-0.11
Satoshi Kodaira,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,1.22,-0.57,-1.2,-0.08,-1.84,-0.62
Sebastian Munoz,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T67,-1.01,0.13,0.02,0.49,0.65,-0.36
Sean O'Hair,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T32,0.14,0.18,-0.2,0.76,0.75,0.89
Scott Piercy,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,-0.82,-1.36,-0.11,0.17,-1.3,-2.12
Seamus Power,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T8,1.42,0.04,1.04,-0.36,0.72,2.14
Sam Ryder,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,0.98,-1,-1.63,-0.97,-3.6,-2.62
Scott Stallings,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T25,0.52,-0.9,1.25,0.27,0.62,1.14
Sepp Straka,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,1.37,0.13,-1.72,-0.9,-2.49,-1.12
Tyler Duncan,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T52,-0.25,0.51,-0.16,0.03,0.38,0.14
Tom Hoge,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,-2.75,0.51,0.44,-0.83,0.12,-2.62
Tom Lewis,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T25,0.88,0.4,-0.58,0.44,0.26,1.14
Tyler McCumber,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,-2.2,-0.23,-0.69,1.01,0.08,-2.12
Troy Merritt,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T2,1.81,0.26,0.45,0.36,1.08,2.89
TainÊLee,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,NA,NA,NA,NA,NA,NA,NA
Vaughn Taylor,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,1.37,-0.79,-1.31,-0.89,-2.99,-1.62
Vincent Whaley,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,T58,0.29,-0.47,-0.34,0.41,-0.41,-0.11
Will Gordon,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,-0.49,-1.49,-1.09,0.45,-2.14,-2.62
WillieÊMack III,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,NA,NA,NA,NA,NA,NA,NA
William McGirt,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,0.05,0.81,-0.51,-0.98,-0.68,-0.62
Webb Simpson,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,CUT,0.1,0.26,-0.58,-0.39,-0.72,-0.62
Will Zalatoris,18,Rocket Mortgage Classic,"Detroit Golf Club - Detroit, MI",04/07/2021,7.5,2021,0,77,-0.78,0.1,-0.76,-0.17,-0.83,-1.61
Abraham Ancer,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,4,1,0.22,0.41,0.87,1.5,2.5
Alex Beach,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-2.04,-0.57,-0.98,-0.39,-1.94,-3.98
Austin Cook,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.42,0.04,-1,0.39,-0.56,-0.98
Austin Eckroat,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T47,0.24,-0.04,0.1,0.19,0.26,0.5
Adam Hadwin,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.55,-0.47,-1.43,-0.03,-1.93,-2.48
Anirban Lahiri,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.98,-1.59,-0.79,0.39,-2,-2.98
Adam Long,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,0.27,-0.6,-1.82,-0.33,-2.75,-2.48
Andrew Putnam,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T13,0.37,-0.03,1.37,0.03,1.38,1.75
Adam Schenk,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.55,0.49,0.57,0.51,1.57,0.02
Adam Scott,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T13,1.43,0.25,0.83,-0.77,0.32,1.75
Aaron Wise,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T66,-1.26,0.16,0.44,0.41,1.01,-0.25
Byeong Hun An,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.75,-0.78,0.52,1.03,0.77,0.02
Bronson Burgoon,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.89,-0.54,-0.58,-0.97,-2.09,-2.98
Bryson DeChambeau,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,19,0.69,-0.23,0.21,0.82,0.8,1.5
Brice Garnett,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T5,3.48,-0.4,-0.77,-0.05,-1.23,2.25
Brian Gay,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,0.04,0.12,-0.93,-0.71,-1.52,-1.48
Brandon Hagy,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.56,1.63,-1.32,-0.23,0.08,-0.48
Brian Harman,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T5,1.66,0.8,-0.48,0.27,0.59,2.25
Beau Hossler,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T10,0.94,0.27,-0.06,0.86,1.06,2
Brooks Koepka,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T5,0.06,0.15,1.08,0.95,2.18,2.25
Brandt Snedeker,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.06,0.21,-0.15,0.02,0.08,0.02
Brendan Steele,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-2.89,-0.04,2.37,0.58,2.91,0.02
Brian Stuard,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T30,0.63,0.2,0.03,0.14,0.37,1
Brendon Todd,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T30,-0.45,0.24,1,0.2,1.44,1
Bo Van Pelt,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-3.1,-0.48,0.13,-1.03,-1.38,-4.48
Bubba Watson,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T19,0.22,0.08,0.51,0.69,1.28,1.5
Chesson Hadley,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,1.4,-1.13,-1,-0.26,-2.38,-0.98
Charley Hoffman,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T30,1.27,-0.16,0.13,-0.25,-0.27,1
Chris Kirk,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.01,0.78,0.49,-1.24,0.03,-0.98
Chase Koepka,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-2.01,-1.38,0.75,1.15,0.53,-1.48
Carlos Ortiz,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T47,0.27,-0.31,0.3,0.24,0.23,0.5
C.T. Pan,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,1.37,0.19,-0.21,-1.33,-1.35,0.02
Cameron Percy,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T54,-0.39,-0.44,1.02,0.05,0.63,0.25
Chez Reavie,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T25,-0.18,0.11,0.84,0.49,1.43,1.25
Chase Seiffert,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.27,0.84,-1.12,-0.43,-0.71,-0.98
Cameron Smith,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T30,0.42,-0.07,1.16,-0.52,0.57,1
Cameron Tringale,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.72,-0.36,1.27,-0.17,0.74,0.02
Dylan Frittelli,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.75,0.39,-0.69,-0.43,-0.73,-2.48
Doug Ghim,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T54,0.03,-0.55,0.66,0.11,0.22,0.25
David Hearn,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T73,-0.44,0.19,1.1,-1.6,-0.31,-0.75
Dustin Johnson,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T25,0.36,0.6,-0.15,0.45,0.89,1.25
Danny Lee,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,1.84,-1.56,0.94,-1.7,-2.32,-0.48
David Lipsky,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,1.15,-0.11,-2.42,-1.1,-3.63,-2.48
Denny McCarthy,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T73,1.28,-0.99,-0.14,-0.9,-2.03,-0.75
Doc Redman,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T61,0.13,-0.34,0.97,-0.77,-0.13,0
Davis Thompson,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.92,-0.03,-0.07,1.04,0.94,-0.98
D.J. Trahan,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.73,-0.84,-0.57,0.16,-1.25,-1.98
Emiliano Grillo,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.05,-0.57,0.47,1.17,1.07,0.02
Francesco Molinari,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-2.81,-0.46,-0.24,0.54,-0.17,-2.98
Garrick Higgo,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,0.82,-1.82,0.58,0.43,-0.8,0.02
Guido Migliozzi,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T13,1.07,-0.24,0.74,0.17,0.67,1.75
Grayson Murray,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.91,-0.57,-2.12,-1.38,-4.07,-4.98
Harris English,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,1,0.99,0.72,0.37,0.92,2.01,3
Harry Higgs,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.85,-0.46,-0.57,-1.11,-2.13,-2.98
Hank Lebioda,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T5,1.46,0.55,0.25,0,0.79,2.25
Hunter Mahan,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,0.77,-0.95,-1.38,0.08,-2.25,-1.48
Henrik Norlander,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T61,-0.26,-0.51,0.72,0.05,0.25,0
Hudson Swafford,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.14,-1.03,-2.38,0.08,-3.34,-3.48
Harold Varner III,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T47,-0.61,-0.2,1.72,-0.41,1.11,0.5
Ian Poulter,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T36,0.83,0.14,-0.27,0.05,-0.08,0.75
Jonas Blixt,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T36,1.04,-0.47,-0.92,1.1,-0.29,0.75
Joseph Bramlett,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.26,0.16,1.09,0.03,1.28,0.02
Jason Day,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T10,0.81,0.92,0.05,0.22,1.19,2
Jason Dufner,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,0.03,-0.17,-2.08,-0.27,-2.51,-2.48
J.J. Henry,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-2.91,-1.19,0.71,0.41,-0.07,-2.98
Jim Herman,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T25,0.26,-0.19,0.11,1.07,0.99,1.25
J.B. Holmes,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T36,1.17,-0.32,0.37,-0.48,-0.43,0.75
JohnÊPak,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,NA,NA,NA,NA,NA,NA,NA
Joaquin Niemann,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T36,0.28,0.53,0.08,-0.14,0.47,0.75
Ted Potter Jr.,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,0.22,-0.5,-1.02,-0.68,-2.2,-1.98
Justin Rose,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T36,0.25,-0.11,0.88,-0.27,0.5,0.75
J.J. Spaun,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T47,-0.36,-0.12,0.31,0.67,0.86,0.5
Keegan Bradley,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.54,-0.7,2.12,0.14,1.56,0.02
Kevin Chappell,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T36,0.09,0.51,-0.05,0.2,0.65,0.75
Kramer Hickok,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,2,1.88,0.14,-0.09,1.08,1.12,3
Kevin Kisner,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T5,1.74,0.26,0.09,0.16,0.51,2.25
Kyoung-Hoon Lee,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T73,-0.45,0.04,-0.97,0.62,-0.31,-0.75
Keith Mitchell,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.58,-0.46,-1.15,-0.29,-1.9,-3.48
Kevin Na,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T47,1.53,-0.06,-0.99,0.02,-1.03,0.5
Kevin Stadler,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-2.31,1.27,0.49,0.07,1.83,-0.48
Kyle Stanley,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T54,-0.98,-0.5,1.71,0.01,1.22,0.25
Kevin Streelman,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,0.04,-0.24,-0.26,0.48,-0.02,0.02
Kevin Tway,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T66,0.43,0.27,-0.05,-0.9,-0.68,-0.25
Kristoffer Ventura,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T70,0.37,0.09,-1.01,0.04,-0.88,-0.5
Luke Donald,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.37,-0.06,-1.65,-2.41,-4.11,-5.48
Lanto Griffin,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T70,-0.58,-0.02,0.21,-0.12,0.07,-0.5
Lucas Herbert,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T19,0.1,0.36,0.95,0.09,1.39,1.5
Michael Gligic,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,2.22,-0.52,-0.88,-1.3,-2.7,-0.48
Max Homa,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.67,-0.08,-0.25,0.53,0.19,-0.48
Mark Hubbard,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T13,1.15,0.44,-0.12,0.28,0.6,1.75
Mackenzie Hughes,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T76,-0.29,0.23,-0.1,-0.84,-0.71,-1
Matt Jones,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T36,0.82,0.02,-0.49,0.4,-0.08,0.75
Michael Kim,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.38,-0.29,-0.67,-0.64,-1.6,-2.98
Marc Leishman,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,3,1.31,0.26,0.06,1.12,1.44,2.75
Maverick McNealy,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T30,0.82,-0.4,-0.61,1.18,0.17,1
Matthew NeSmith,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-3.13,0.32,0.6,-0.28,0.64,-2.48
Michael Thompson,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.8,1.84,-3.24,0.73,-0.68,-1.48
Martin Trainer,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,0.24,1.05,-2.31,-1.96,-3.22,-2.98
Matthew Wolff,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.6,-0.64,-1.4,-0.34,-2.38,-2.98
Nate Lashley,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T76,-0.96,0.47,-0.48,-0.03,-0.04,-1
Nick Taylor,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.78,-0.46,-0.2,-0.04,-0.7,-1.48
Nick Watney,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-2.67,-1.23,-2.96,-1.13,-5.31,-7.98
Patrick Cantlay,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T13,0.38,0.06,0.94,0.37,1.37,1.75
Paul Casey,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T36,-1.25,0.56,1.17,0.26,1.99,0.75
Patton Kizzire,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.18,0.14,-0.19,-0.25,-0.3,-1.48
Peter Malnati,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T54,1.23,0.03,-0.14,-0.87,-0.98,0.25
Phil Mickelson,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T61,0.31,0.08,0.15,-0.54,-0.31,0
Pat Perez,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,0.35,0.02,-1.57,0.22,-1.33,-0.98
Patrick Reed,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T25,-0.7,0.3,0.98,0.66,1.95,1.25
Patrick Rodgers,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T76,-1.91,0.45,0.36,0.09,0.91,-1
Ryan Armour,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T61,-0.57,-0.21,-0.38,1.15,0.57,0
Ryan Brehm,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,1.53,0.13,-1.08,-1.05,-2.01,-0.48
Rafa Cabrera Bello,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,0.41,0.06,-1.45,0,-1.39,-0.98
Rafael Campos,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,2.4,-1.01,-2.67,0.8,-2.88,-0.48
Rickie Fowler,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.57,0.79,-1.33,-1.37,-1.91,-2.48
Russell Henley,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T19,0.25,-0.18,0.83,0.6,1.25,1.5
Russell Knox,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.31,0.12,-0.07,-0.72,-0.67,-0.98
Ryan Moore,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T54,0.48,-0.32,-0.08,0.17,-0.23,0.25
Rob Oppenheim,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.06,0.76,0.81,-1.5,0.08,-0.98
Rory Sabbatini,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-1.63,0.64,-0.19,0.69,1.14,-0.48
Robby Shelton,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T66,-0.12,0.84,-1.14,0.17,-0.13,-0.25
Roger Sloan,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-2.75,0.36,-0.37,0.28,0.27,-2.48
Robert Streb,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T19,0.63,0.81,-0.01,0.07,0.87,1.5
Richy Werenski,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,1.55,-0.36,0.36,-1.53,-1.53,0.02
Scott Brown,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-2.16,-0.49,1.09,0.08,0.68,-1.48
Sam Burns,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T13,0.15,0.86,0.68,0.05,1.6,1.75
Sebastian Cappelen,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.72,-0.25,-1.22,0.21,-1.26,-1.98
Stewart Cink,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T30,-1.16,-0.2,1.3,1.05,2.15,1
Scott Harrington,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,1.01,-0.71,-0.34,0.06,-0.99,0.02
Sung Kang,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,2.34,-0.48,-0.3,-1.54,-2.32,0.02
Si Woo Kim,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-2.2,0.46,-2.16,1.42,-0.28,-2.48
Satoshi Kodaira,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,T36,1.33,-0.07,-0.41,-0.1,-0.58,0.75
Sebastian Munoz,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.11,-0.37,0,0.49,0.13,0.02
Sean O'Hair,19,Travelers Championship,"TPC River Highlands - Cromwell, CT",27/06/2021,7.4,2021,0,CUT,-0.44,0.81,-0.6,-0.74,-0.54,-0.98
