player,Var.25,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Scott Stallings,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,CUT,-1.13,-0.64,-1.12,0.54,-1.22,-2.35
Sepp Straka,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,CUT,0.05,-0.47,1.5,-2.43,-1.4,-1.35
Tony Finau,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,1,1,0.28,1.26,1.16,2.7,3.7
Talor Gooch,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,T31,0.12,-0.24,1.36,-0.54,0.58,0.7
Tyrrell Hatton,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,CUT,0.69,0.57,-0.78,-2.33,-2.54,-1.85
Tom Hoge,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,T4,1.76,-0.16,0.17,0.68,0.69,2.45
Tyler McCumber,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,CUT,-0.05,-0.56,-1.1,0.86,-0.8,-0.85
Troy Merritt,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,CUT,-1.1,-0.08,-1.58,0.41,-1.25,-2.35
Viktor Hovland,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,T43,-0.22,-0.45,0.55,0.57,0.67,0.45
Wyndham Clark,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,CUT,-1.18,0.02,-0.51,-2.18,-2.67,-3.85
Webb Simpson,11,Northern Trust Open,"Liberty National - Jersey City, NJ",23/08/2021,9.5,2021,1,T47,-0.52,0.69,0.6,-0.57,0.72,0.2
