Date,^FTSE,^GSPC
10/08/2012,5847.100098,1405.869995
13/08/2012,5831.899902,1404.109985
14/08/2012,5864.799805,1403.930054
15/08/2012,5833,1405.530029
16/08/2012,5834.5,1415.51001
17/08/2012,5852.399902,1418.160034
20/08/2012,5824.399902,1418.130005
21/08/2012,5857.5,1413.170044
22/08/2012,5774.200195,1413.48999
23/08/2012,5776.600098,1402.079956
24/08/2012,5776.600098,1411.130005
28/08/2012,5775.700195,1409.300049
29/08/2012,5743.5,1410.48999
30/08/2012,5719.5,1399.47998
31/08/2012,5711.5,1406.579956
04/09/2012,5672,1404.939941
05/09/2012,5657.899902,1403.439941
06/09/2012,5777.299805,1432.119995
07/09/2012,5794.799805,1437.920044
10/09/2012,5793.200195,1429.079956
11/09/2012,5792.200195,1433.560059
12/09/2012,5782.100098,1436.560059
13/09/2012,5819.899902,1459.98999
14/09/2012,5915.600098,1465.77002
17/09/2012,5893.5,1461.189941
18/09/2012,5868.200195,1459.319946
19/09/2012,5888.5,1461.050049
20/09/2012,5854.600098,1460.26001
21/09/2012,5852.600098,1460.150024
24/09/2012,5838.799805,1456.890015
25/09/2012,5859.700195,1441.589966
26/09/2012,5768.100098,1433.319946
27/09/2012,5779.399902,1447.150024
28/09/2012,5742.100098,1440.670044
01/10/2012,5820.5,1444.48999
02/10/2012,5809.5,1445.75
03/10/2012,5825.799805,1450.98999
04/10/2012,5827.799805,1461.400024
05/10/2012,5871,1460.930054
08/10/2012,5841.700195,1455.880005
09/10/2012,5810.299805,1441.47998
10/10/2012,5776.700195,1432.560059
11/10/2012,5829.799805,1432.839966
12/10/2012,5793.299805,1428.589966
15/10/2012,5805.600098,1440.130005
16/10/2012,5870.5,1454.920044
17/10/2012,5910.899902,1460.910034
18/10/2012,5917.100098,1457.339966
19/10/2012,5896.200195,1433.189941
22/10/2012,5882.899902,1433.819946
23/10/2012,5797.899902,1413.109985
24/10/2012,5804.799805,1408.75
25/10/2012,5805.100098,1412.969971
26/10/2012,5806.700195,1411.939941
31/10/2012,5782.700195,1412.160034
01/11/2012,5861.899902,1427.589966
02/11/2012,5868.600098,1414.199951
05/11/2012,5839.100098,1417.26001
06/11/2012,5884.899902,1428.390015
07/11/2012,5791.600098,1394.530029
08/11/2012,5776.100098,1377.51001
09/11/2012,5769.700195,1379.849976
12/11/2012,5767.299805,1380.030029
13/11/2012,5786.299805,1374.530029
14/11/2012,5722,1355.48999
15/11/2012,5677.799805,1353.329956
16/11/2012,5605.600098,1359.880005
19/11/2012,5737.700195,1386.890015
20/11/2012,5748.100098,1387.810059
21/11/2012,5752,1391.030029
23/11/2012,5819.100098,1409.150024
26/11/2012,5786.700195,1406.290039
27/11/2012,5799.700195,1398.939941
28/11/2012,5803.299805,1409.930054
29/11/2012,5870.299805,1415.949951
30/11/2012,5866.799805,1416.180054
03/12/2012,5871.200195,1409.459961
04/12/2012,5869,1407.050049
05/12/2012,5892.100098,1409.280029
06/12/2012,5901.399902,1413.939941
07/12/2012,5914.399902,1418.069946
10/12/2012,5921.600098,1418.550049
11/12/2012,5925,1427.839966
12/12/2012,5945.899902,1428.47998
13/12/2012,5929.600098,1419.449951
14/12/2012,5921.799805,1413.579956
17/12/2012,5912.200195,1430.359985
18/12/2012,5935.899902,1446.790039
19/12/2012,5961.600098,1435.810059
20/12/2012,5958.299805,1443.689941
21/12/2012,5940,1430.150024
24/12/2012,5954.200195,1426.660034
27/12/2012,5954.299805,1418.099976
28/12/2012,5925.399902,1402.430054
31/12/2012,5897.799805,1426.189941
02/01/2013,6027.399902,1462.420044
03/01/2013,6047.299805,1459.369995
04/01/2013,6089.799805,1466.469971
07/01/2013,6064.600098,1461.890015
08/01/2013,6053.600098,1457.150024
09/01/2013,6098.700195,1461.02002
10/01/2013,6101.5,1472.119995
11/01/2013,6121.600098,1472.050049
14/01/2013,6107.899902,1470.680054
15/01/2013,6117.299805,1472.339966
16/01/2013,6104,1472.630005
17/01/2013,6132.399902,1480.939941
18/01/2013,6154.399902,1485.97998
22/01/2013,6179.200195,1492.560059
23/01/2013,6197.600098,1494.810059
24/01/2013,6264.899902,1494.819946
25/01/2013,6284.5,1502.959961
28/01/2013,6294.399902,1500.180054
29/01/2013,6339.200195,1507.839966
30/01/2013,6323.100098,1501.959961
31/01/2013,6276.899902,1498.109985
01/02/2013,6347.200195,1513.170044
04/02/2013,6246.799805,1495.709961
05/02/2013,6282.799805,1511.290039
06/02/2013,6295.299805,1512.119995
07/02/2013,6228.399902,1509.390015
08/02/2013,6263.899902,1517.930054
11/02/2013,6277.100098,1517.01001
12/02/2013,6338.399902,1519.430054
13/02/2013,6359.100098,1520.329956
14/02/2013,6327.399902,1521.380005
15/02/2013,6328.299805,1519.790039
19/02/2013,6379.100098,1530.939941
20/02/2013,6395.399902,1511.949951
21/02/2013,6291.5,1502.420044
22/02/2013,6335.700195,1515.599976
25/02/2013,6355.399902,1487.849976
26/02/2013,6270.399902,1496.939941
27/02/2013,6325.899902,1515.98999
28/02/2013,6360.799805,1514.680054
01/03/2013,6378.600098,1518.199951
04/03/2013,6345.600098,1525.199951
05/03/2013,6432,1539.790039
06/03/2013,6427.600098,1541.459961
07/03/2013,6439.200195,1544.26001
08/03/2013,6483.600098,1551.180054
11/03/2013,6503.600098,1556.219971
12/03/2013,6510.600098,1552.47998
13/03/2013,6481.5,1554.52002
14/03/2013,6529.399902,1563.22998
15/03/2013,6489.700195,1560.699951
18/03/2013,6457.899902,1552.099976
19/03/2013,6441.299805,1548.339966
20/03/2013,6432.700195,1558.709961
21/03/2013,6388.600098,1545.800049
22/03/2013,6392.799805,1556.890015
25/03/2013,6378.399902,1551.689941
26/03/2013,6399.399902,1563.77002
27/03/2013,6387.600098,1562.849976
28/03/2013,6411.700195,1569.189941
02/04/2013,6490.700195,1570.25
03/04/2013,6420.299805,1553.689941
04/04/2013,6344.100098,1559.97998
05/04/2013,6249.799805,1553.280029
08/04/2013,6276.899902,1563.069946
09/04/2013,6313.200195,1568.609985
10/04/2013,6387.399902,1587.72998
11/04/2013,6416.100098,1593.369995
12/04/2013,6384.399902,1588.849976
15/04/2013,6343.600098,1552.359985
16/04/2013,6304.600098,1574.569946
17/04/2013,6244.200195,1552.01001
18/04/2013,6243.700195,1541.609985
19/04/2013,6286.600098,1555.25
22/04/2013,6280.600098,1562.5
23/04/2013,6406.100098,1578.780029
24/04/2013,6431.799805,1578.790039
25/04/2013,6442.600098,1585.160034
26/04/2013,6426.399902,1582.23999
29/04/2013,6458,1593.609985
30/04/2013,6430.100098,1597.569946
01/05/2013,6451.299805,1582.699951
02/05/2013,6460.700195,1597.589966
03/05/2013,6521.5,1614.420044
07/05/2013,6557.299805,1625.959961
08/05/2013,6583.5,1632.689941
09/05/2013,6592.700195,1626.670044
10/05/2013,6625,1633.699951
13/05/2013,6631.799805,1633.77002
14/05/2013,6686.100098,1650.339966
15/05/2013,6693.600098,1658.780029
16/05/2013,6687.799805,1650.469971
17/05/2013,6723.100098,1667.469971
20/05/2013,6755.600098,1666.290039
21/05/2013,6803.899902,1669.160034
22/05/2013,6840.299805,1655.349976
23/05/2013,6696.799805,1650.51001
24/05/2013,6654.299805,1649.599976
28/05/2013,6762,1660.060059
29/05/2013,6627.200195,1648.359985
30/05/2013,6657,1654.410034
31/05/2013,6583.100098,1630.73999
03/06/2013,6525.100098,1640.420044
04/06/2013,6558.600098,1631.380005
05/06/2013,6419.299805,1608.900024
06/06/2013,6336.100098,1622.560059
07/06/2013,6412,1643.380005
10/06/2013,6400.5,1642.810059
11/06/2013,6340.100098,1626.130005
12/06/2013,6299.5,1612.52002
13/06/2013,6304.600098,1636.359985
14/06/2013,6308.299805,1626.72998
17/06/2013,6330.5,1639.040039
18/06/2013,6374.200195,1651.810059
19/06/2013,6348.799805,1628.930054
20/06/2013,6159.5,1588.189941
21/06/2013,6116.200195,1592.430054
24/06/2013,6029.100098,1573.089966
25/06/2013,6101.899902,1588.030029
26/06/2013,6165.5,1603.26001
27/06/2013,6243.399902,1613.199951
28/06/2013,6215.5,1606.280029
01/07/2013,6307.799805,1614.959961
02/07/2013,6303.899902,1614.079956
03/07/2013,6229.899902,1615.410034
05/07/2013,6375.5,1631.890015
08/07/2013,6450.100098,1640.459961
09/07/2013,6513.100098,1652.319946
10/07/2013,6505,1652.619995
11/07/2013,6543.399902,1675.02002
12/07/2013,6544.899902,1680.189941
15/07/2013,6586.100098,1682.5
16/07/2013,6556.399902,1676.26001
17/07/2013,6571.899902,1680.910034
18/07/2013,6634.399902,1689.369995
19/07/2013,6630.700195,1692.089966
22/07/2013,6623.200195,1695.530029
23/07/2013,6597.399902,1692.390015
24/07/2013,6620.399902,1685.939941
25/07/2013,6588,1690.25
26/07/2013,6554.799805,1691.650024
29/07/2013,6560.299805,1685.329956
30/07/2013,6571,1685.959961
31/07/2013,6621.100098,1685.72998
01/08/2013,6682,1706.869995
02/08/2013,6647.899902,1709.670044
05/08/2013,6619.600098,1707.140015
06/08/2013,6604.200195,1697.369995
07/08/2013,6511.200195,1690.910034
08/08/2013,6529.700195,1697.47998
09/08/2013,6583.399902,1691.420044
12/08/2013,6574.299805,1689.469971
13/08/2013,6611.899902,1694.160034
14/08/2013,6587.399902,1685.390015
15/08/2013,6483.299805,1661.319946
16/08/2013,6500,1655.829956
19/08/2013,6465.700195,1646.060059
20/08/2013,6453.5,1652.349976
21/08/2013,6390.799805,1642.800049
22/08/2013,6446.899902,1656.959961
